date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:38	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/Downloads/_static/jquery.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/Downloads/_static/jquery.1d.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:38	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/Downloads/_static/underscore.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/Downloads/_static/underscore.1e.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:38	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:38%20GMT	http://tutorialsymfony2.eu5.org/Downloads/_static/doctools.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/Downloads/_static/doctools.js	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:39	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:38%20GMT	http://tutorialsymfony2.eu5.org/Downloads/_static/theme_extras.js	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/Downloads/_static/theme_extras.js	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:39	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/Downloads/docs/configuration-and-templating.html	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/Downloads/docs/configuration-and-templating.21.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:39	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:39%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/languages/gb.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/gb.22.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:39	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:39%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/languages/es.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/es.png	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:39	39597/39597	---MC-	200	added ('OK')	application/javascript	date:Wed,%2010%20Aug%202016%2006:26:36%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/symfony/apis.google.com/js/plusone.js	(from http://tutorialsymfony2.eu5.org/)
11:56:39	0/-1	---M--	302	error ('')			http://tutorialsymfony2.eu5.org/_static/images/icons/languages/fr.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/fr.24.delayed	(from http://tutorialsymfony2.eu5.org/index.html)
11:56:39	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Aug%202016%2006:26:39%20GMT	http://tutorialsymfony2.eu5.org/_static/images/icons/languages/jp.png	C:/My%20Web%20Sites/symfony/tutorialsymfony2.eu5.org/_static/images/icons/languages/jp.png	(from http://tutorialsymfony2.eu5.org/index.html)
